key,year,incoming,value
in Major,1999,106,11
in Major,2000,69,19
in Major,2001,103,13
in Major,2002,70,14
in Major,2003,72,15
in Major,2004,66,9
in Major,2005,55,8
in Major,2006,69,4
in Major,2007,72,14
in Major,2008,96,21
in Major,2009,92,0
in Major,2010,94,0
in Major,2011,103,0
in College,1999,106,11
in College,2000,69,19
in College,2001,103,13
in College,2002,70,14
in College,2003,72,18
in College,2004,66,11
in College,2005,55,11
in College,2006,69,6
in College,2007,72,16
in College,2008,96,24
in College,2009,92,0
in College,2010,94,0
in College,2011,103,0
in University,1999,106,25
in University,2000,69,25
in University,2001,103,30
in University,2002,70,26
in University,2003,72,25
in University,2004,66,16
in University,2005,55,19
in University,2006,69,14
in University,2007,72,19
in University,2008,96,30
in University,2009,92,0
in University,2010,94,0
in University,2011,103,0
